FunctionalAssessment,ADL,MMSE,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
5.0737,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0739,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0705,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1615
,,,,,,,,
5.067,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0478,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.1609
,,,,,,,,
5.0562,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.1611
,,,,,,,,
5.0689,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1615
,,,,,,,,
5.0389,0.0,0.0,1043.58,1.0,1.0,1.0,0.0,0.1606
,,,,,,,,
5.0757,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1617
,,,,,,,,
5.0383,0.0,0.0,1043.58,1.0,1.0,1.0,0.0,0.1606
,,,,,,,,
5.0612,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1612
,,,,,,,,
5.0406,0.0,0.0,1043.57,1.0,1.0,1.0,0.0,0.1607
,,,,,,,,
5.0559,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.1611
,,,,,,,,
5.0451,0.0,0.0,1043.57,1.0,1.0,1.0,0.0,0.1608
,,,,,,,,
5.0743,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
5.0796,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1618
,,,,,,,,
5.0761,0.0,0.0,1043.53,1.0,1.0,1.0,0.0,0.1617
,,,,,,,,
5.0425,0.0,0.0,1043.57,1.0,1.0,1.0,0.0,0.1607
,,,,,,,,
5.056,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.1611
,,,,,,,,
5.0404,0.0,0.0,1043.57,1.0,1.0,1.0,0.0,0.1607
,,,,,,,,
5.0458,0.0,0.0,1043.57,1.0,1.0,1.0,0.0,0.1608
,,,,,,,,
5.0347,0.0,0.0,1043.58,1.0,1.0,1.0,0.0,0.1605
,,,,,,,,
5.0688,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1615
,,,,,,,,
5.0684,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.0561,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.1611
,,,,,,,,
4.9774,0.0,0.0,1043.65,1.0,1.0,1.0,0.0,0.1588
,,,,,,,,
5.0664,0.0,0.0,1043.54,1.0,1.0,1.0,0.0,0.1614
,,,,,,,,
5.062,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1613
,,,,,,,,
